	Adjustment	Age Group	Best	Comments	Country	Drug Group	High	Low	Method	Source	Year	Longitude	Latitude
513	 	15-64	0,19	Problem opiate users	China	Opioids	0,25	0,13	I		2012	 104.195397	 35.86166
514	 	15-64	0,618	Problem Opiate users	Malta	Opioids	0,664	0,581	I		2012	 14.375416	 35.937496
515	 	15-64	0,41	Problem opioid users	Finland	Opioids	0,45	0,38	I		2012	 25.748151	 61.92411
516	 	15-64	1,51	Data refers to 2012/13. Estimated as 90% of opiate and benzodiazepine users DORIS	United Kingdom (Scotland)	Opioids	1,57	1,47	I		2013		
517	 	15-64	0,29	Problem opiate users	Germany	Opioids			I		2013	 10.451526	 51.165691
518	 	15-64	0,27	Problem opiate users	Norway	Opioids			I		2013	 8.468946	 60.472024
519	 	15-64	0,1	Problem opiate users	Poland	Opioids			I		2013	 19.145136	 51.919438
520	 	15-64	0,5	Problem opiate users	Austria	Opioids	0,51	0,49	I		2013	 14.550072	 47.516231
521	 	15-64	0,15	Problem opiate users	Cyprus	Opioids	0,21	0,12	I		2013	 33.429859	 35.126413
522	 	15-64	0,22	Problem opiate users	Greece	Opioids	2,57	0,96	I		2013	 21.824312	 39.074208
523	 	15-64	0,62	Problem opiate users	Latvia	Opioids	1	0,42	I		2013	 24.603189	 56.879635
524	 	15-64	0,8	Problem opiate users	Italy	Opioids			I		2013	 12.56738	 41.87194
525	 	15-64	0,21	Problem opiate users	Spain	Opioids	0,25	0,16	I		2013	 -3.74922	 40.463667
526	 	15-64	0,15	Problem Opiate users (Heroin, but includes methadone, buprenorphine)	Czech Republic	Opioids			I		2013	 15.472962	 49.817492
527	 	15-64	0,24	Problem opiate users	Nepal	Opioids	0,29	0,18	I, b		2006	 84.124008	 28.394857
528	 	15-64	0,32	Opiates	Turkmenistan	Opioids			R		2007	 59.556278	 38.969719
529	h,g	15-64	0,45	Problem opiate users	Albania	Opioids			R		2007	 20.168331	 41.153332
530	x	15-64	2,288852103	Includes prescription/other opioids	Russian Federation	Opioids			R, I		2010		
531	a, b	15-64	0,2	Mainly opiates	Liechtenstein	Opioids			SS		2005	 9.555373	 47.166
532	a, d, e, x	15-64	0,2	Includes prescription opioids	Haiti	Opioids	0,22	0,19	SS		2006	 -72.285215	 18.971187
533	d,e	15-64	1	Includes prescription opioids	Jamaica	Opioids	1,5	0,5	SS		2006	 -77.297508	 18.109581
534	a, d, e	15-64	0,08	Opiates	Senegal	Opioids			SS		2006	 -14.452362	 14.497401
535	d	15-64	0,068058903	 	Dominican Republic	Opioids	0,085078157	0,05103965	SS		2008	 -70.162651	 18.735693
